winery,wine,year,is_non_vintage,rating,num_reviews,region,region_grouped,price,price_log,type,body,acidity
Valdespino,Toneles Moscatel,,TRUE,4.8,174,Jerez-Xeres-Sherry,Jerez-Xeres-Sherry,253.0,2.4031,Sherry,4,3
Vega Sicilia,Unico Reserva Especial Edicion,2013,FALSE,4.8,172,Ribera del Duero,Ribera del Duero,570.51,2.7563,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,2016,FALSE,4.8,145,Ribera del Duero,Ribera del Duero,1280.0,3.1072,Ribera Del Duero Red,5,3
Toro Albala,Don PX Convento Seleccion,1931,FALSE,4.8,139,Montilla-Moriles,Other,244.85,2.3889,Pedro Ximenez,5,1
Vega Sicilia,Unico Reserva Especial Edicion,2010,FALSE,4.8,125,Ribera del Duero,Ribera del Duero,719.34,2.8569,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1979,FALSE,4.8,118,Ribera del Duero,Ribera del Duero,815.0,2.9112,Ribera Del Duero Red,5,3
Toro Albala,Don PX Pedro Ximenez,1946,FALSE,4.8,103,Montilla-Moriles,Other,285.86,2.4562,Pedro Ximenez,5,1
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,FALSE,4.8,87,Priorato,Priorato,1410.26,3.1493,Priorat Red,4,3
Vega Sicilia,Unico Reserva Especial Edicion,2005,FALSE,4.8,87,Ribera del Duero,Ribera del Duero,813.96,2.9106,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2020,FALSE,4.8,84,Ribera del Duero,Ribera del Duero,435.75,2.6392,Ribera Del Duero Red,5,3
Ordonez,Vatan Arena Tinta de Toro,2014,FALSE,4.8,79,Toro,Toro,369.05,2.5671,Toro Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,1985,FALSE,4.8,70,Ribera del Duero,Ribera del Duero,1182.77,3.0729,Ribera Del Duero Red,5,3
Toro Albala,Don PX Convento Seleccion,1929,FALSE,4.8,69,Montilla-Moriles,Other,227.95,2.3578,Pedro Ximenez,5,1
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,FALSE,4.8,68,Ribera del Duero,Ribera del Duero,999.0,2.9996,Ribera Del Duero Red,5,3
Vina Sastre,Pesus Ribera del Duero,2007,FALSE,4.8,68,Ribera del Duero,Ribera del Duero,360.0,2.5563,Ribera Del Duero Red,5,3
Teso La Monja,Tinto,2012,FALSE,4.8,56,Toro,Toro,1190.0,3.0755,Toro Red,5,3
Dominio de Pingus,Pingus,2017,FALSE,4.8,52,Ribera del Duero,Ribera del Duero,1150.0,3.0607,Ribera Del Duero Red,5,3
Teso La Monja,Tinto,2009,FALSE,4.8,50,Toro,Toro,950.0,2.9777,Toro Red,5,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,FALSE,4.8,40,Priorato,Priorato,1021.21,3.0091,Priorat Red,4,3
Sierra Cantabria,Magico,2016,FALSE,4.8,40,Rioja,Rioja,544.5,2.736,Rioja Red,4,3
Teso La Monja,Tinto,2011,FALSE,4.8,32,Toro,Toro,1295.0,3.1123,Toro Red,5,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,FALSE,4.8,31,Priorato,Priorato,992.2,2.9966,Priorat Red,4,3
Teso La Monja,Tinto,2015,FALSE,4.8,28,Toro,Toro,1289.44,3.1104,Toro Red,5,3
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,FALSE,4.8,26,Bierzo,Bierzo,1098.9,3.041,Red,4,3
La Rioja Alta,Gran Reserva 890,1985,FALSE,4.8,26,Rioja,Rioja,215.34,2.3331,Rioja Red,4,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,FALSE,4.8,26,Priorato,Priorato,1094.9,3.0394,Priorat Red,4,3
Vega Sicilia,Unico Reserva Especial Edicion,,TRUE,4.7,12421,Ribera del Duero,Ribera del Duero,423.5,2.6269,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2010,FALSE,4.7,5266,Ribera del Duero,Ribera del Duero,239.5,2.3793,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2014,FALSE,4.7,4350,Ribera del Duero,Ribera del Duero,175.5,2.2443,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2006,FALSE,4.7,3929,Ribera del Duero,Ribera del Duero,194.0,2.2878,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2005,FALSE,4.7,3437,Ribera del Duero,Ribera del Duero,381.15,2.5811,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2004,FALSE,4.7,3164,Ribera del Duero,Ribera del Duero,584.43,2.7667,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2000,FALSE,4.7,3127,Ribera del Duero,Ribera del Duero,555.2,2.7444,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2007,FALSE,4.7,2935,Ribera del Duero,Ribera del Duero,445.28,2.6486,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2015,FALSE,4.7,2826,Ribera del Duero,Ribera del Duero,189.0,2.2765,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2006,FALSE,4.7,2765,Ribera del Duero,Ribera del Duero,362.25,2.559,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2008,FALSE,4.7,2480,Ribera del Duero,Ribera del Duero,289.0,2.4609,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2003,FALSE,4.7,2419,Ribera del Duero,Ribera del Duero,325.0,2.5119,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2016,FALSE,4.7,2177,Ribera del Duero,Ribera del Duero,107.57,2.0317,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2005,FALSE,4.7,1892,Ribera del Duero,Ribera del Duero,234.0,2.3692,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2002,FALSE,4.7,1199,Ribera del Duero,Ribera del Duero,500.94,2.6998,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1991,FALSE,4.7,1141,Ribera del Duero,Ribera del Duero,698.9,2.8444,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1994,FALSE,4.7,940,Ribera del Duero,Ribera del Duero,872.47,2.9408,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2000,FALSE,4.7,935,Ribera del Duero,Ribera del Duero,877.85,2.9434,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1990,FALSE,4.7,690,Ribera del Duero,Ribera del Duero,827.94,2.918,Ribera Del Duero Red,5,3
Pago de Carraovejas,Cuesta de Las Liebres,2014,FALSE,4.7,685,Ribera del Duero,Ribera del Duero,113.18,2.0538,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1989,FALSE,4.7,675,Ribera del Duero,Ribera del Duero,679.72,2.8323,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1987,FALSE,4.7,593,Ribera del Duero,Ribera del Duero,787.59,2.8963,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2017,FALSE,4.7,560,Ribera del Duero,Ribera del Duero,480.06,2.6813,Ribera Del Duero Red,5,3
Pago de Carraovejas,El Anejon,2015,FALSE,4.7,543,Ribera del Duero,Ribera del Duero,75.1,1.8756,Ribera Del Duero Red,5,3
Bodegas El Nido,El Nido,2014,FALSE,4.7,511,Jumilla,Other,154.9,2.1901,Red,4,3
Bodegas El Nido,El Nido,2013,FALSE,4.7,476,Jumilla,Other,145.0,2.1614,Red,4,3
Vega Sicilia,Unico Reserva Especial Edicion,1996,FALSE,4.7,442,Ribera del Duero,Ribera del Duero,290.0,2.4624,Ribera Del Duero Red,5,3
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,FALSE,4.7,425,Rioja,Rioja,795.0,2.9004,Rioja White,3,3
Bodegas El Nido,El Nido,2016,FALSE,4.7,393,Jumilla,Other,371.78009750522,2.5703,Red,4,3
Bodegas El Nido,El Nido,2008,FALSE,4.7,347,Jumilla,Other,134.19,2.1277,Red,4,3
Vinedos de Paganos,La Nieta,2015,FALSE,4.7,312,Rioja,Rioja,82.58,1.9169,Rioja Red,4,3
Vega Sicilia,Unico,1981,FALSE,4.7,308,Ribera del Duero,Ribera del Duero,873.86,2.9414,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2007,FALSE,4.7,303,Ribera del Duero,Ribera del Duero,774.4,2.889,Ribera Del Duero Red,5,3
Emilio Moro,Malleolus de Valderramiro,2016,FALSE,4.7,300,Ribera del Duero,Ribera del Duero,84.95,1.9292,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,2001,FALSE,4.7,295,Ribera del Duero,Ribera del Duero,940.0,2.9731,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1986,FALSE,4.7,292,Ribera del Duero,Ribera del Duero,812.63,2.9099,Ribera Del Duero Red,5,3
Emilio Moro,Malleolus de Sanchomartin,2016,FALSE,4.7,291,Ribera del Duero,Ribera del Duero,116.54,2.0665,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,2004,FALSE,4.7,285,Ribera del Duero,Ribera del Duero,1500.0,3.1761,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,2006,FALSE,4.7,280,Ribera del Duero,Ribera del Duero,1190.0,3.0755,Ribera Del Duero Red,5,3
Bodegas El Nido,El Nido,2017,FALSE,4.7,268,Jumilla,Other,154.85,2.1899,Red,4,3
Teso La Monja,Alabaster,2016,FALSE,4.7,264,Toro,Toro,135.0,2.1303,Toro Red,5,3
Quinta de la Quietud,La Mula de la Quietud,2015,FALSE,4.7,256,Toro,Toro,63.75,1.8045,Toro Red,5,3
Vega Sicilia,Unico,1985,FALSE,4.7,254,Ribera del Duero,Ribera del Duero,827.94,2.918,Ribera Del Duero Red,5,3
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,FALSE,4.7,251,Castilla y Leon,Other,66.07,1.82,Tempranillo,4,2
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,FALSE,4.7,243,Rioja,Rioja,213.9,2.3302,Rioja Red,4,3
Remirez de Ganuza,Maria Remirez de Ganuza,2006,FALSE,4.7,240,Rioja,Rioja,234.9,2.3709,Rioja Red,4,3
Vega Sicilia,Unico,1968,FALSE,4.7,225,Ribera del Duero,Ribera del Duero,2087.25,3.3196,Ribera Del Duero Red,5,3
Vinedos de Paganos,La Nieta,2018,FALSE,4.7,220,Rioja,Rioja,89.9,1.9538,Rioja Red,4,3
Vega Sicilia,Unico,1964,FALSE,4.7,214,Ribera del Duero,Ribera del Duero,1384.54,3.1413,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1982,FALSE,4.7,205,Ribera del Duero,Ribera del Duero,820.98,2.9143,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,2015,FALSE,4.7,203,Ribera del Duero,Ribera del Duero,1250.0,3.0969,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,1995,FALSE,4.7,196,Ribera del Duero,Ribera del Duero,1500.0,3.1761,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,1999,FALSE,4.7,184,Ribera del Duero,Ribera del Duero,1715.18,3.2343,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1974,FALSE,4.7,173,Ribera del Duero,Ribera del Duero,932.3,2.9696,Ribera Del Duero Red,5,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,FALSE,4.7,171,Priorato,Priorato,1372.14,3.1374,Priorat Red,4,3
Bodegas San Roman,Cartago Paraje de Pozo,2015,FALSE,4.7,137,Toro,Toro,78.9,1.8971,Toro Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2012,FALSE,4.7,136,Ribera del Duero,Ribera del Duero,660.96,2.8202,Ribera Del Duero Red,5,3
Pago de Los Capellanes,Parcela El Picon Tinto,2009,FALSE,4.7,134,Ribera del Duero,Ribera del Duero,154.0,2.1875,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2017,FALSE,4.7,133,Ribera del Duero,Ribera del Duero,134.89,2.13,Ribera Del Duero Red,5,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,FALSE,4.7,132,Priorato,Priorato,1422.96,3.1532,Priorat Red,4,3
Bodega Numanthia,Termanthia,2005,FALSE,4.7,131,Toro,Toro,207.11,2.3162,Toro Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2011,FALSE,4.7,131,Ribera del Duero,Ribera del Duero,340.49,2.5321,Ribera Del Duero Red,5,3
Emilio Moro,Clon De La Familia,2010,FALSE,4.7,127,Ribera del Duero,Ribera del Duero,317.63,2.5019,Ribera Del Duero Red,5,3
Alto Moncayo,Aquilon Garnacha,2011,FALSE,4.7,123,Campo de Borja,Other,108.9,2.037,Grenache,5,3
Vega Sicilia,Unico,1983,FALSE,4.7,118,Ribera del Duero,Ribera del Duero,700.0,2.8451,Ribera Del Duero Red,5,3
Toro Albala,Don PX Convento Seleccion,1955,FALSE,4.7,117,Montilla-Moriles,Other,185.0,2.2672,Pedro Ximenez,5,1
Vega Sicilia,Unico,1980,FALSE,4.7,116,Ribera del Duero,Ribera del Duero,911.43,2.9597,Ribera Del Duero Red,5,3
Bodega Contador (Benjamin Romeo),Contador Rioja,2005,FALSE,4.7,112,Rioja,Rioja,1150.0,3.0607,Rioja Red,4,3
Vega Sicilia,Unico,1972,FALSE,4.7,110,Ribera del Duero,Ribera del Duero,698.95,2.8444,Ribera Del Duero Red,5,3
Bodega Numanthia,Termanthia,2004,FALSE,4.7,108,Toro,Toro,2814.16,3.4493,Toro Red,5,3
Teso La Monja,Tinto,2010,FALSE,4.7,102,Toro,Toro,1325.0,3.1222,Toro Red,5,3
Alvaro Palacios,Quinon de Valmira,2015,FALSE,4.7,102,Rioja,Rioja,527.26,2.722,Rioja Red,4,3
Vega Sicilia,Unico Reserva Especial Edicion,1987,FALSE,4.7,100,Ribera del Duero,Ribera del Duero,1071.45,3.03,Ribera Del Duero Red,5,3
Mas Doix,1902 Centenary Carignan Priorat,2015,FALSE,4.7,94,Priorato,Priorato,299.0,2.4757,Priorat Red,4,3
Finca Moncloa,Tintilla de Rota,2016,FALSE,4.7,92,Cadiz,Other,43.13,1.6348,NA,NA,NA
Vega Sicilia,Unico,1953,FALSE,4.7,89,Ribera del Duero,Ribera del Duero,1207.6,3.0819,Ribera Del Duero Red,5,3
Bodegas Roda,Cirsion Rioja,2000,FALSE,4.7,87,Rioja,Rioja,175.0,2.243,Rioja Red,4,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,FALSE,4.7,82,Priorato,Priorato,1252.35,3.0977,Priorat Red,4,3
Bodegas El Nido,El Nido,2019,FALSE,4.7,80,Jumilla,Other,145.9,2.1641,Red,4,3
Mas Doix,1902 Centenary Carignan Priorat,2013,FALSE,4.7,74,Priorato,Priorato,447.95,2.6512,Priorat Red,4,3
Vega Sicilia,Unico Reserva Especial Edicion,2006,FALSE,4.7,72,Ribera del Duero,Ribera del Duero,813.96,2.9106,Ribera Del Duero Red,5,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,FALSE,4.7,67,Priorato,Priorato,1410.26,3.1493,Priorat Red,4,3
Martinet,Cami Pesseroles,2006,FALSE,4.7,65,Priorato,Priorato,182.9,2.2622,Priorat Red,4,3
Recaredo,Turo d'en Mota,2007,FALSE,4.7,64,Cava,Other,99.0,1.9956,Cava,2,3
Vega Sicilia,Unico Reserva Especial Edicion,1986,FALSE,4.7,63,Ribera del Duero,Ribera del Duero,1113.2,3.0466,Ribera Del Duero Red,5,3
Clos Erasmus,Priorat,2007,FALSE,4.7,60,Priorato,Priorato,654.31,2.8158,Priorat Red,4,3
Pago de Los Capellanes,Parcela El Picon Tinto,2016,FALSE,4.7,59,Ribera del Duero,Ribera del Duero,134.26,2.1279,Ribera Del Duero Red,5,3
Barbadillo,Reliquia Palo Cortado Sherry,,TRUE,4.7,58,Jerez Palo Cortado,Other,380.0,2.5798,Sherry,4,3
La Rioja Alta,Gran Reserva 890,1982,FALSE,4.7,57,Rioja,Rioja,292.09,2.4655,Rioja Red,4,3
Gonzalez-Byass,Anada Palo Cortado 1987,1987,FALSE,4.7,53,Jerez Palo Cortado,Other,400.85,2.603,Sherry,4,3
Clos Erasmus,Daphne Glorian Red,2007,FALSE,4.7,51,Priorato,Priorato,202.01,2.3054,Red,4,3
Toro Albala,Don PX Pedro Ximenez,1955,FALSE,4.7,50,Montilla-Moriles,Other,250.0,2.3979,Pedro Ximenez,5,1
Vinedos de Paganos,La Nieta,2019,FALSE,4.7,49,Rioja,Rioja,88.9,1.9489,Rioja Red,4,3
Bodegas Amaren,El Regollar,2016,FALSE,4.7,49,Rioja,Rioja,77.9,1.8915,Rioja Red,4,3
Toro Albala,Don PX Convento Seleccion,1958,FALSE,4.7,47,Montilla-Moriles,Other,191.61,2.2824,Pedro Ximenez,5,1
Teso La Monja,Alabaster,2018,FALSE,4.7,45,Toro,Toro,123.89,2.093,Toro Red,5,3
Alvear,Abuelo Diego Palo Cortado,,TRUE,4.7,42,Montilla-Moriles,Other,114.28,2.058,Pedro Ximenez,5,1
Equipo Navazos,La Bota 78 de Oloroso,,TRUE,4.7,41,Manzanilla,Other,95.57,1.9803,Sherry,4,3
Morca,Touran,2018,FALSE,4.7,41,Campo de Borja,Other,93.95,1.9729,Grenache,5,3
Territorio Luthier,Luthier Gran Reserva,2012,FALSE,4.7,40,Ribera del Duero,Ribera del Duero,248.0,2.3945,Ribera Del Duero Red,5,3
Artadi,Vina El Pison,1995,FALSE,4.7,39,Vino de Espana,Vino de Espana,397.0,2.5988,Tempranillo,4,2
Rafael Palacios,Sorte O Soro Val do Bibei,2019,FALSE,4.7,37,Valdeorras,Other,194.86,2.2897,NA,NA,NA
Recaredo,Reserva Particular de Recaredo Brut Nature,2011,FALSE,4.7,35,Cava,Other,65.05,1.8132,Cava,2,3
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,FALSE,4.7,33,Castilla y Leon,Other,86.9,1.939,Tempranillo,4,2
Vina Sastre,Pesus Ribera del Duero,2004,FALSE,4.7,32,Ribera del Duero,Ribera del Duero,472.5,2.6744,Ribera Del Duero Red,5,3
Terra Remota,Usted,2010,FALSE,4.7,31,Emporda,Other,379.0,2.5786,Red,4,3
Dehesa de Los Canonigos,Gran Reserva,2001,FALSE,4.7,31,Ribera del Duero,Ribera del Duero,185.15,2.2675,Ribera Del Duero Red,5,3
Vina Sastre,Regina Vides Ribera del Duero,1998,FALSE,4.7,30,Ribera del Duero,Ribera del Duero,94.2,1.9741,Ribera Del Duero Red,5,3
Miguel Merino,La Loma,2018,FALSE,4.7,29,Rioja Alta,Other,46.0,1.6628,Rioja Red,4,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,FALSE,4.7,28,Priorato,Priorato,919.6,2.9636,Priorat Red,4,3
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,FALSE,4.7,27,Alicante,Alicante,81.9,1.9133,NA,NA,NA
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,FALSE,4.7,27,Rioja,Rioja,680.0,2.8325,Rioja Red,4,3
Vega Sicilia,Valbuena 5o,2011,FALSE,4.6,6803,Ribera del Duero,Ribera del Duero,218.0,2.3385,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2012,FALSE,4.6,5938,Ribera del Duero,Ribera del Duero,177.0,2.248,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2008,FALSE,4.6,5545,Ribera del Duero,Ribera del Duero,187.3,2.2725,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2007,FALSE,4.6,5116,Ribera del Duero,Ribera del Duero,195.59,2.2913,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2013,FALSE,4.6,4747,Ribera del Duero,Ribera del Duero,135.0,2.1303,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2009,FALSE,4.6,4685,Ribera del Duero,Ribera del Duero,225.2,2.3526,Ribera Del Duero Red,5,3
Alion,Ribera del Duero,2016,FALSE,4.6,4516,Ribera del Duero,Ribera del Duero,79.8,1.902,Ribera Del Duero Red,5,3
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,FALSE,4.6,3383,Ribera del Duero,Ribera del Duero,116.187943627787,2.0652,Ribera Del Duero Red,5,3
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,FALSE,4.6,3239,Ribera del Duero,Ribera del Duero,89.3,1.9509,Ribera Del Duero Red,5,3
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,FALSE,4.6,2416,Rioja,Rioja,438.9,2.6424,Rioja Red,4,3
Alion,Ribera del Duero,2017,FALSE,4.6,2208,Ribera del Duero,Ribera del Duero,79.9,1.9025,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2004,FALSE,4.6,1608,Ribera del Duero,Ribera del Duero,249.0,2.3962,Ribera Del Duero Red,5,3
Dominio de Pingus,Flor de Pingus,2018,FALSE,4.6,1363,Ribera del Duero,Ribera del Duero,129.95,2.1138,Ribera Del Duero Red,5,3
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,FALSE,4.6,1108,Ribera del Duero,Ribera del Duero,76.95,1.8862,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2000,FALSE,4.6,1015,Ribera del Duero,Ribera del Duero,252.0,2.4014,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2002,FALSE,4.6,936,Ribera del Duero,Ribera del Duero,232.0,2.3655,Ribera Del Duero Red,5,3
Bodega Numanthia,Termanthia,2012,FALSE,4.6,840,Toro,Toro,214.0,2.3304,Toro Red,5,3
Bodega Numanthia,Termanthia,2011,FALSE,4.6,790,Toro,Toro,205.0,2.3118,Toro Red,5,3
Carmelo Rodero,Pago De Valtarrena,2015,FALSE,4.6,700,Ribera del Duero,Ribera del Duero,49.95,1.6985,Ribera Del Duero Red,5,3
Emilio Moro,Malleolus de Sanchomartin,2011,FALSE,4.6,693,Ribera del Duero,Ribera del Duero,125.0,2.0969,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,1999,FALSE,4.6,595,Ribera del Duero,Ribera del Duero,276.8,2.4422,Ribera Del Duero Red,5,3
Emilio Moro,Malleolus de Valderramiro,2015,FALSE,4.6,516,Ribera del Duero,Ribera del Duero,75.0,1.8751,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,2010,FALSE,4.6,410,Ribera del Duero,Ribera del Duero,1359.75,3.1335,Ribera Del Duero Red,5,3
Pago de Carraovejas,Cuesta de Las Liebres,2010,FALSE,4.6,405,Ribera del Duero,Ribera del Duero,81.5,1.9112,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,2012,FALSE,4.6,400,Ribera del Duero,Ribera del Duero,890.0,2.9494,Ribera Del Duero Red,5,3
Dominio del Bendito,El Titan del Bendito,2015,FALSE,4.6,388,Toro,Toro,43.5,1.6385,Toro Red,5,3
Emilio Moro,Malleolus de Sanchomartin,2015,FALSE,4.6,369,Ribera del Duero,Ribera del Duero,99.0,1.9956,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,2013,FALSE,4.6,323,Ribera del Duero,Ribera del Duero,1198.72,3.0787,Ribera Del Duero Red,5,3
Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,FALSE,4.6,313,Castilla y Leon,Other,94.95,1.9775,Tempranillo,4,2
Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,FALSE,4.6,304,Castilla y Leon,Other,89.0,1.9494,Tempranillo,4,2
Dominio de Pingus,Pingus,2005,FALSE,4.6,293,Ribera del Duero,Ribera del Duero,1785.96,3.2519,Ribera Del Duero Red,5,3
Vinedos de Paganos,La Nieta,2017,FALSE,4.6,286,Rioja,Rioja,108.21,2.0343,Rioja Red,4,3
Artadi,Vina El Pison,2006,FALSE,4.6,274,Vino de Espana,Vino de Espana,391.5,2.5927,Tempranillo,4,2
Dominio de Pingus,Pingus,1998,FALSE,4.6,244,Ribera del Duero,Ribera del Duero,1350.0,3.1303,Ribera Del Duero Red,5,3
Bodegas Roda,Cirsion Rioja,2007,FALSE,4.6,242,Rioja,Rioja,145.0,2.1614,Rioja Red,4,3
Bodegas Roda,Cirsion Rioja,2012,FALSE,4.6,231,Rioja,Rioja,173.38,2.239,Rioja Red,4,3
Bodega Contador (Benjamin Romeo),Contador Rioja,2011,FALSE,4.6,225,Rioja,Rioja,220.0,2.3424,Rioja Red,4,3
Marques de Murrieta,Dalmau Rioja,2017,FALSE,4.6,222,Rioja,Rioja,85.7,1.933,Rioja Red,4,3
Vega Sicilia,Unico,1965,FALSE,4.6,218,Ribera del Duero,Ribera del Duero,2884.04,3.46,Ribera Del Duero Red,5,3
